Quantity,Part,Type,Link
2,1608 10uf capacitor,SMD component,
3,2012 2.2uf capacitor,SMD component,
1,6.3x5.7 100uf capacitor,SMD component,
1,3216 100uf capacitor,SMD component,
8,1608 100nf capacitor,SMD component,
1,4x5.4 10uf capacitor,SMD component,
2,1608 2.2nf capacitor,SMD component,
1,2012 4.7uf capacitor,SMD component,
1,side mount bicolour led ,SMD component,
1,SWPA60 6.8uH inductor,SMD component,
1,2012 1k resistor,SMD component,
1,1608 330k resistor,SMD component,
1,2012 680 resistor,SMD component,
2,1608 1.8M resistor,SMD component,
1,1608 220k resistor,SMD component,
1,1608 1M resistor,SMD component,
1,2012 2k resistor,SMD component,
2,2012 2k2 resistor,SMD component,
8,2012 10k resistor,SMD component,
1,1608 75k resistor,SMD component,
4,1608 22 resistor,SMD component,
1,1608 560 resistor,SMD component,
1,1608 100 resistor,SMD component,
1,1608 200 resistor,SMD component,
3,1608 470 resistor,SMD component,
1,PVQFN TPS61090,SMD component,
1,SOT-23 MCP73831,SMD component,
1,SOIC-16 74HC595,SMD component,
1,TSSOP-20 PCM5102,SMD component,
1,UQFN-20 MPR121QR2,SMD component,
8,1N4148WT,SMD component,
1,Red LED,TH component,Mouser
1,5mm RKGB LED,TH component,-
1,Switched Audio Jack,TH component,Mouser
1,JST PH 2mm 2pin male angled,TH component,-
1,503450 1000mAh battery,other hardware,-
3,Potentiometer,TH component,"Mouser (note: if we could source a RV09AF-40-15K-B100K instead, it would be better)"
2,Tactile switch 6x6mm,TH component,Mouser
21,Tactile switch 12x12mm,TH component,Mouser
2,Touch header female,TH component,Mouser
2,Touch header male,TH component,Mouser
1,Teensy 4.0,TH component,PJRC
1,Teensy headers,TH component,Mouser
21,Tactile switch keycap 9x9,other hardware,Mouser
2,Tactile switch keycap key top ,other hardware,Mouser
1,Tactile switch keycap 4x4 orange,other hardware,Mouser
1,Tactile switch keycap 4x4 yellow,other hardware,Mouser
1,Top shell,other hardware,-
1,Bottom shell,other hardware,-
1,Double sided tape,other hardware,-
6,M2.3x8 self taping screws,other hardware,-
3,M2.3x6 self taping screws,other hardware,-